sequence_id	domain_name	evalue	score	align_start	align_end	sequence_length	domain_length	coverage
Fk|ctg000000279_seq1674	cmuA_aligned	6.8e-60	200.1	28390	29043	47400	654	0.01379746835443038
Fk|ctg000000030_seq175	cmuA_aligned	8.7e-51	170.1	5654	5838	6263	185	0.0295385597956251
Fk|ctg000000011_seq63	cmuA_aligned	1.3e-16	57.3	7628	7955	11594	328	0.028290495083663963
Fk|ctg000000273_seq1633	cmuA_aligned	120.0	-1.9	17691	17732	22473	42	0.001868909357896142
Fk|ctg000000273_seq1633	cmuA_aligned	1.3e-11	40.8	20330	20550	22473	221	0.00983402304988208
Fk|ctg000000273_seq1636	cmuA_aligned	120.0	-1.9	1722	1763	22473	42	0.001868909357896142
Fk|ctg000000273_seq1636	cmuA_aligned	1.3e-11	40.8	4361	4581	22473	221	0.00983402304988208
Fk|ctg000000086_seq512	cmuA_aligned	5.6e-11	38.7	8544	8639	10658	96	0.009007318446237568
Fk|ctg000000258_seq1547	cmuA_aligned	5.4e-06	22.3	39469	39628	49379	160	0.003240243828348083
Fk|ctg000000199_seq1194	cmuA_aligned	8.5e-05	18.3	17364	17453	84808	90	0.0010612206395623055
Fk|ctg000000199_seq1194	cmuA_aligned	8.4	1.8	43281	43559	84808	279	0.0032897839826431467
