sequence_id	domain_name	evalue	score	align_start	align_end	sequence_length	domain_length	coverage
C|ctg000011233_seq2	cmuA_aligned	9.6e-48	168.1	13881	14113	38490	233	0.0060535203949077685
C|ctg000011233_seq2	cmuA_aligned	1.3e-77	266.6	14758	14966	38490	209	0.005429981813458041
C|ctg000061326_seq2	cmuA_aligned	3.9e-100	340.9	11084	11639	43761	556	0.012705376933799502
C|ctg000061326_seq5	cmuA_aligned	3.9e-100	340.9	11084	11639	43761	556	0.012705376933799502
C|ctg000037830_seq6	cmuA_aligned	2.1e-84	289.0	290	502	735	213	0.2897959183673469
C|ctg000042991_seq2	cmuA_aligned	3.2e-83	285.1	22074	22286	25952	213	0.008207459926017263
C|ctg000012952_seq4	cmuA_aligned	1.8e-79	272.7	25288	25497	51713	210	0.004060874441629764
C|ctg000030841_seq4	cmuA_aligned	2.5e-79	272.3	50105	50334	55276	230	0.004160937839206889
C|ctg000041545_seq5	cmuA_aligned	2.9e-77	265.5	500	703	18868	204	0.010811956752172992
C|ctg000011233_seq3	cmuA_aligned	1.2e-75	260.1	15364	15568	38490	205	0.005326058716549753
C|ctg000050758_seq1	cmuA_aligned	1.5e-73	253.2	1908	2097	3417	190	0.05560433128475271
C|ctg000022411_seq4	cmuA_aligned	3e-73	252.2	51	443	444	393	0.8851351351351351
C|ctg000024347_seq5	cmuA_aligned	9.3e-73	250.6	1	167	167	167	1.0
C|ctg000047613_seq5	cmuA_aligned	1.6e-71	246.5	1	183	184	183	0.9945652173913043
C|ctg000015897_seq5	cmuA_aligned	2.9e-71	245.7	2777	3531	3764	755	0.20058448459086078
C|ctg000063608_seq5	cmuA_aligned	1.1e-70	243.8	1	175	389	175	0.4498714652956298
C|ctg000030841_seq1	cmuA_aligned	1.3e-69	240.2	4207	4423	55276	217	0.0039257543961212825
C|ctg000015498_seq6	cmuA_aligned	1.3e-69	240.2	20741	20930	25969	190	0.007316415726443067
C|ctg000006822_seq4	cmuA_aligned	7.3e-69	237.7	939	1118	1118	180	0.16100178890876565
C|ctg000007402_seq5	cmuA_aligned	5.7e-68	234.8	271	451	451	181	0.401330376940133
C|ctg000073362_seq2	cmuA_aligned	3.8e-66	228.8	26	196	197	171	0.868020304568528
C|ctg000010969_seq3	cmuA_aligned	3e-64	222.5	7	185	185	179	0.9675675675675676
C|ctg000027731_seq2	cmuA_aligned	4.2e-60	208.8	41276	41483	58973	208	0.00352703779695793
C|ctg000053431_seq5	cmuA_aligned	1.8e-55	193.6	1	126	127	126	0.9921259842519685
C|ctg000010941_seq3	cmuA_aligned	1.9e-53	186.9	1	141	72657	141	0.0019406251290309262
C|ctg000023061_seq5	cmuA_aligned	8.9e-52	181.4	2672	2910	4978	239	0.04801124949779028
C|ctg000074432_seq2	cmuA_aligned	5.9e-49	172.0	1	154	175	154	0.88
C|ctg000034825_seq1	cmuA_aligned	1.1e-47	167.9	524	733	1534	210	0.13689700130378096
C|ctg000043987_seq6	cmuA_aligned	1.1e-46	164.6	13	142	142	130	0.9154929577464789
C|ctg000062305_seq5	cmuA_aligned	1.8e-45	160.5	53637	53885	54968	249	0.004529908310289623
C|ctg000029914_seq1	cmuA_aligned	4e-45	159.4	2930	3162	3495	233	0.06666666666666667
C|ctg000018108_seq1	cmuA_aligned	6.4e-45	158.7	1	103	103	103	1.0
C|ctg000017915_seq6	cmuA_aligned	10.0	9.6	75689	75759	86837	71	0.0008176238239460138
C|ctg000017915_seq6	cmuA_aligned	1.3e-43	154.4	80947	81236	86837	290	0.0033395902668217465
C|ctg000002419_seq4	cmuA_aligned	2.1e-42	150.4	1	98	101	98	0.9702970297029703
C|ctg000053427_seq3	cmuA_aligned	1.7e-40	144.2	1	99	100	99	0.99
C|ctg000071977_seq5	cmuA_aligned	5.9e-36	129.2	2	176	431	175	0.4060324825986079
C|ctg000057259_seq1	cmuA_aligned	5.4e-35	126.0	1	109	184	109	0.592391304347826
C|ctg000051688_seq6	cmuA_aligned	6.2e-35	125.8	4	136	136	133	0.9779411764705882
C|ctg000019105_seq6	cmuA_aligned	8e-33	118.8	1	92	121	92	0.7603305785123967
C|ctg000070033_seq1	cmuA_aligned	1.5e-32	118.0	1	126	129	126	0.9767441860465116
C|ctg000000784_seq1	cmuA_aligned	2.7e-25	94.0	672	876	2726	205	0.0752017608217168
C|ctg000074918_seq4	cmuA_aligned	1e-21	82.2	1	66	292	66	0.22602739726027396
C|ctg000068578_seq3	cmuA_aligned	1.2e-18	72.0	2	206	1143	205	0.17935258092738407
C|ctg000074935_seq3	cmuA_aligned	3.9e-17	67.1	107	221	221	115	0.5203619909502263
C|ctg000051208_seq3	cmuA_aligned	5.8e-16	63.2	706	778	779	73	0.09370988446726572
C|ctg000039537_seq4	cmuA_aligned	4.8e-16	63.5	1	47	146	47	0.3219178082191781
C|ctg000065830_seq4	cmuA_aligned	2.2e-15	61.3	326	449	449	124	0.27616926503340755
C|ctg000037891_seq2	cmuA_aligned	1.1e-14	58.9	1	96	105	96	0.9142857142857143
C|ctg000052146_seq1	cmuA_aligned	1.5e-12	52.0	2059	2259	4662	201	0.043114543114543116
C|ctg000062901_seq6	cmuA_aligned	1.1e-12	52.3	84	213	214	130	0.6074766355140186
C|ctg000043126_seq1	cmuA_aligned	2.7e-12	51.1	2	48	121	47	0.3884297520661157
C|ctg000056475_seq3	cmuA_aligned	5.8e-11	46.7	28	230	488	203	0.41598360655737704
C|ctg000029575_seq6	cmuA_aligned	6.8e-11	46.5	846	1046	1589	201	0.12649465072372562
C|ctg000015498_seq4	cmuA_aligned	1.3e-10	45.5	20953	21307	25970	355	0.013669618790912592
C|ctg000019450_seq6	cmuA_aligned	1.8e-10	45.1	1823	2134	4352	312	0.07169117647058823
C|ctg000013461_seq3	cmuA_aligned	9.5e-10	42.7	29	109	371	81	0.2183288409703504
C|ctg000013461_seq3	cmuA_aligned	7400.0	0.1	342	370	371	29	0.07816711590296496
C|ctg000017719_seq3	cmuA_aligned	1.1e-09	42.5	32420	32484	32484	65	0.0020009851003570988
C|ctg000068578_seq1	cmuA_aligned	2.9e-09	41.1	223	552	1143	330	0.2887139107611549
C|ctg000032985_seq2	cmuA_aligned	3.7e-09	40.8	17	213	214	197	0.9205607476635514
C|ctg000021428_seq1	cmuA_aligned	5.2e-09	40.2	24	111	145	88	0.6068965517241379
C|ctg000033410_seq3	cmuA_aligned	6.6e-09	39.9	32	192	235	161	0.6851063829787234
C|ctg000061326_seq1	cmuA_aligned	0.0015	22.2	11655	11970	43762	316	0.007220876559572232
C|ctg000061326_seq1	cmuA_aligned	0.19	15.3	13941	14309	43762	369	0.008431972944563777
C|ctg000061326_seq4	cmuA_aligned	0.0015	22.2	11655	11970	43762	316	0.007220876559572232
C|ctg000061326_seq4	cmuA_aligned	0.19	15.3	13941	14309	43762	369	0.008431972944563777
C|ctg000024811_seq4	cmuA_aligned	1.4e-08	38.8	130	450	770	321	0.41688311688311686
C|ctg000042887_seq1	cmuA_aligned	2.2e-08	38.2	351	434	528	84	0.1590909090909091
C|ctg000019241_seq3	cmuA_aligned	1.6e-07	35.3	4	41	146	38	0.2602739726027397
C|ctg000025401_seq3	cmuA_aligned	2e-07	35.0	4	41	160	38	0.2375
C|ctg000041545_seq4	cmuA_aligned	2.4e-07	34.7	2	39	18869	38	0.002013885208543113
C|ctg000007504_seq6	cmuA_aligned	7.6e-07	33.1	191	245	245	55	0.22448979591836735
C|ctg000041545_seq1	cmuA_aligned	8.2e-07	33.0	1	37	18869	37	0.001960888229370926
C|ctg000010941_seq6	cmuA_aligned	9.5e-07	32.8	2	39	72657	38	0.0005230053539232283
C|ctg000054714_seq6	cmuA_aligned	1.3e-06	32.3	273	364	364	92	0.25274725274725274
C|ctg000053485_seq2	cmuA_aligned	1.1e-06	32.6	46	137	186	92	0.4946236559139785
C|ctg000057304_seq1	cmuA_aligned	1.7e-06	31.9	1	36	110	36	0.32727272727272727
C|ctg000042991_seq6	cmuA_aligned	9e-06	29.6	3992	4295	25952	304	0.011713933415536375
C|ctg000064455_seq1	cmuA_aligned	7.7e-06	29.8	21	155	186	135	0.7258064516129032
C|ctg000074942_seq3	cmuA_aligned	1.1e-05	29.3	13	125	234	113	0.4829059829059829
C|ctg000059212_seq5	cmuA_aligned	1.6e-05	28.8	20	155	172	136	0.7906976744186046
C|ctg000010328_seq1	cmuA_aligned	2.1e-05	28.3	292	367	377	76	0.20159151193633953
C|ctg000020023_seq6	cmuA_aligned	3e-05	27.8	120	201	274	82	0.29927007299270075
C|ctg000052236_seq6	cmuA_aligned	3.3e-05	27.7	49	164	176	116	0.6590909090909091
C|ctg000049745_seq4	cmuA_aligned	2.9e-05	27.9	75	236	282	162	0.574468085106383
C|ctg000022056_seq4	cmuA_aligned	4.3e-05	27.3	153	253	520	101	0.19423076923076923
C|ctg000055619_seq6	cmuA_aligned	6.1e-05	26.8	471	549	617	79	0.1280388978930308
C|ctg000029372_seq6	cmuA_aligned	0.0001	26.1	9	87	1013	79	0.07798617966436328
C|ctg000055229_seq1	cmuA_aligned	0.00015	25.5	1006	1163	2637	158	0.059916571861964356
C|ctg000021725_seq1	cmuA_aligned	0.00023	24.9	3690	3948	10024	259	0.025837988826815643
C|ctg000012996_seq3	cmuA_aligned	0.0003	24.5	8	90	145	83	0.5724137931034483
C|ctg000014365_seq1	cmuA_aligned	0.00066	23.4	1365	1444	1731	80	0.046216060080878106
C|ctg000048885_seq1	cmuA_aligned	0.0007	23.3	61408	61572	71304	165	0.0023140356782228207
C|ctg000014991_seq6	cmuA_aligned	0.00067	23.4	11	205	212	195	0.9198113207547169
C|ctg000042591_seq2	cmuA_aligned	0.0008	23.1	116	269	612	154	0.25163398692810457
C|ctg000038692_seq3	cmuA_aligned	0.00095	22.9	17	110	110	94	0.8545454545454545
C|ctg000040517_seq6	cmuA_aligned	0.0015	22.3	33	107	201	75	0.373134328358209
C|ctg000024811_seq3	cmuA_aligned	0.0022	21.7	726	769	770	44	0.05714285714285714
C|ctg000018892_seq5	cmuA_aligned	0.0018	21.9	4	134	172	131	0.7616279069767442
C|ctg000033993_seq5	cmuA_aligned	0.0047	20.6	503	642	655	140	0.21374045801526717
C|ctg000021128_seq1	cmuA_aligned	0.0051	20.5	1	44	227	44	0.19383259911894274
C|ctg000003102_seq4	cmuA_aligned	0.0053	20.4	3	59	150	57	0.38
C|ctg000029666_seq1	cmuA_aligned	0.0088	19.7	104	220	228	117	0.5131578947368421
C|ctg000031843_seq2	cmuA_aligned	0.02	18.5	9	105	252	97	0.38492063492063494
C|ctg000048368_seq1	cmuA_aligned	0.033	17.8	10	149	582	140	0.24054982817869416
C|ctg000050167_seq2	cmuA_aligned	0.027	18.1	29	101	190	73	0.38421052631578945
C|ctg000019113_seq3	cmuA_aligned	0.082	16.5	347	485	5208	139	0.026689708141321045
C|ctg000011010_seq2	cmuA_aligned	0.12	15.9	197	289	316	93	0.29430379746835444
C|ctg000008590_seq2	cmuA_aligned	0.098	16.2	44	106	315	63	0.2
C|ctg000055039_seq2	cmuA_aligned	0.084	16.5	73	102	102	30	0.29411764705882354
C|ctg000034882_seq5	cmuA_aligned	0.16	15.6	26732	26814	35708	83	0.002324409096000896
C|ctg000058501_seq1	cmuA_aligned	0.13	15.8	9	89	139	81	0.5827338129496403
C|ctg000065620_seq3	cmuA_aligned	0.3	14.6	23070	23279	60317	210	0.0034816055175157915
C|ctg000037830_seq4	cmuA_aligned	0.29	14.7	538	708	736	171	0.23233695652173914
C|ctg000029018_seq4	cmuA_aligned	0.33	14.5	32462	32539	34216	78	0.0022796352583586625
C|ctg000000501_seq2	cmuA_aligned	0.28	14.7	135	199	201	65	0.32338308457711445
C|ctg000067784_seq6	cmuA_aligned	0.62	13.6	43671	43862	92621	192	0.0020729640146403086
C|ctg000073051_seq4	cmuA_aligned	0.47	14.0	7	89	126	83	0.6587301587301587
C|ctg000074553_seq4	cmuA_aligned	0.97	13.0	981	1091	36128	111	0.0030724092116917625
C|ctg000029241_seq6	cmuA_aligned	1.1	12.7	24677	24861	60756	185	0.003044966752254921
C|ctg000018812_seq4	cmuA_aligned	0.87	13.1	2	63	107	62	0.5794392523364486
C|ctg000012054_seq4	cmuA_aligned	0.9	13.1	7	75	155	69	0.44516129032258067
C|ctg000049479_seq6	cmuA_aligned	1.2	12.7	14	86	103	73	0.7087378640776699
C|ctg000012301_seq6	cmuA_aligned	1.7	12.2	1776	1861	6351	86	0.013541174618170367
C|ctg000046133_seq5	cmuA_aligned	1.9	12.0	139	177	398	39	0.09798994974874371
C|ctg000011000_seq2	cmuA_aligned	2.3	11.7	2617	2702	2729	86	0.031513374862587026
C|ctg000000149_seq2	cmuA_aligned	1.8	12.1	117	239	244	123	0.5040983606557377
C|ctg000037415_seq1	cmuA_aligned	2.3	11.7	4425	4729	5019	305	0.06076907750547918
C|ctg000064733_seq5	cmuA_aligned	2.6	11.6	8	62	149	55	0.3691275167785235
C|ctg000041507_seq5	cmuA_aligned	2.3	11.7	38	111	120	74	0.6166666666666667
C|ctg000029914_seq3	cmuA_aligned	5.1	10.6	1569	1625	3495	57	0.01630901287553648
C|ctg000027731_seq3	cmuA_aligned	4.8	10.7	50004	50058	58973	55	0.0009326301866956065
