sequence_id	domain_name	evalue	score	align_start	align_end	sequence_length	domain_length	coverage
Sj|ctg000000037_seq218	cmuA_aligned	1.7e-90	302.6	19616	20416	76801	801	0.010429551698545592
Sj|ctg000000282_seq1687	cmuA_aligned	3.2e-79	265.4	13077	13279	26243	203	0.007735396105628167
Sj|ctg000000456_seq2736	cmuA_aligned	1.2e-77	260.2	36742	36960	89035	219	0.0024597068568540464
Sj|ctg000000783_seq4695	cmuA_aligned	9.7e-75	250.6	69937	70129	71377	193	0.0027039522535270465
Sj|ctg000000078_seq466	cmuA_aligned	1.3e-74	250.1	5222	5411	25491	190	0.007453611078419835
Sj|ctg000000542_seq3252	cmuA_aligned	3.4e-72	242.2	14790	15006	29977	217	0.007238883143743537
Sj|ctg000000588_seq3524	cmuA_aligned	1.8e-67	226.6	3998	4786	12339	789	0.06394359348407488
Sj|ctg000000457_seq2737	cmuA_aligned	2.2e-51	173.5	1667	1867	88978	201	0.0022589853671694127
Sj|ctg000000579_seq3473	cmuA_aligned	1100.0	-3.7	6724	6773	31161	50	0.0016045698148326433
Sj|ctg000000579_seq3473	cmuA_aligned	4.5e-50	169.2	10404	10601	31161	198	0.006354096466737268
Sj|ctg000000579_seq3471	cmuA_aligned	4.4e-50	169.2	26402	26599	31161	198	0.006354096466737268
Sj|ctg000000424_seq2539	cmuA_aligned	2.1e-48	163.7	712	1003	8336	292	0.03502879078694818
Sj|ctg000000010_seq55	cmuA_aligned	5e-48	162.5	24651	24859	32914	209	0.006349881509388102
Sj|ctg000000010_seq60	cmuA_aligned	4.9e-48	162.5	4765	4972	32913	208	0.006319691307386139
Sj|ctg000000394_seq2361	cmuA_aligned	5e-48	162.4	7750	8031	15733	282	0.01792410856162207
Sj|ctg000000260_seq1559	cmuA_aligned	2.4e-47	160.2	2271	2477	8892	207	0.02327935222672065
Sj|ctg000000466_seq2796	cmuA_aligned	6.4e-47	158.8	2931	3195	24805	265	0.010683329973795605
Sj|ctg000000355_seq2125	cmuA_aligned	4.5e-14	50.4	765	830	39309	66	0.001679004808059223
Sj|ctg000000611_seq3666	cmuA_aligned	29.0	1.5	11586	11631	16483	46	0.002790754110295456
Sj|ctg000000611_seq3666	cmuA_aligned	3e-11	41.1	15952	16136	16483	185	0.011223685008796943
Sj|ctg000000355_seq2127	cmuA_aligned	3.3e-12	44.2	848	913	39308	66	0.0016790475221328991
Sj|ctg000000044_seq264	cmuA_aligned	5.1e-11	40.3	2763	3074	93270	312	0.0033451270504985526
Sj|ctg000000210_seq1255	cmuA_aligned	8.6e-10	36.3	12746	12921	35304	176	0.00498527079084523
Sj|ctg000000588_seq3523	cmuA_aligned	2.2e-09	34.9	7386	7481	12339	96	0.007780209093119377
Sj|ctg000000355_seq2126	cmuA_aligned	1.5e-08	32.2	31915	31999	39308	85	0.0021624096875954004
Sj|ctg000000710_seq4259	cmuA_aligned	1.5e-07	28.9	3981	4057	16634	77	0.004629072983046771
Sj|ctg000000094_seq561	cmuA_aligned	3.5e-07	27.7	21014	21097	27268	84	0.003080533959219598
Sj|ctg000000777_seq4661	cmuA_aligned	2.8e-07	28.0	18690	18770	32453	81	0.0024959171725264227
Sj|ctg000000617_seq3700	cmuA_aligned	4e-06	24.2	36590	36682	44598	93	0.002085295304722185
Sj|ctg000000081_seq481	cmuA_aligned	1.9e-05	21.9	9078	9304	58775	227	0.003862186303700553
Sj|ctg000000471_seq2823	cmuA_aligned	5.7e-05	20.4	1704	1870	10780	167	0.01549165120593692
Sj|ctg000000617_seq3697	cmuA_aligned	0.00039	17.6	6251	6310	44598	60	0.0013453518094981838
Sj|ctg000000542_seq3250	cmuA_aligned	0.0012	16.0	14279	14431	29977	153	0.005103912999966641
Sj|ctg000000542_seq3250	cmuA_aligned	870.0	-3.3	20289	20311	29977	23	0.0007672548954198218
Sj|ctg000000611_seq3661	cmuA_aligned	0.0021	15.2	1206	1320	16484	115	0.0069764620237806356
Sj|ctg000000741_seq4441	cmuA_aligned	0.0095	13.0	44666	44743	60427	78	0.0012908137091035465
Sj|ctg000000635_seq3806	cmuA_aligned	0.012	12.7	9466	9603	64536	138	0.0021383413908516178
Sj|ctg000000293_seq1757	cmuA_aligned	0.051	10.6	27923	28008	30074	86	0.0028596129547117113
